,hour,longitude,latitude,value
0,0,108.9723,34.212,4
1,0,108.9431,34.2971,4
2,0,108.9718,34.3541,4
3,0,108.9127,34.1963,5
4,0,108.9331,34.3395,4
5,0,108.9464,34.3285,4
6,0,108.9417,34.2705,4
7,0,109.0734,34.3052,2
8,0,109.0405,34.2823,5
9,0,108.8756,34.1777,4
10,0,108.9893,34.2698,6
11,0,108.8855,34.2922,5
12,0,108.9527,34.1892,3
13,0,108.8531,34.3065,4
14,0,108.953,34.2235,9
15,0,108.9534,34.2898,23
16,0,108.947,34.2381,13
17,0,108.9319,34.2422,4
18,0,108.8993,34.1677,4
19,0,108.9551,34.3363,9
20,0,109.0131,34.2501,6
21,0,108.8669,34.3293,3
22,0,108.9095,34.2079,2
23,0,108.9329,34.2581,22
24,0,108.8846,34.1965,9
25,0,108.9733,34.2739,30
26,0,108.8759,34.144,2
27,0,108.953,34.1999,11
28,0,108.9164,34.22,3
29,0,108.9776,34.169,2
30,0,108.9329,34.2207,4
31,0,108.9691,34.1981,3
32,0,108.8864,34.1716,2
33,0,108.8428,34.2544,11
34,0,108.936,34.3672,4
35,0,108.9034,34.2385,4
36,0,108.9781,34.3221,3
37,0,108.9144,34.2423,13
38,0,108.9415,34.163,5
39,0,108.8419,34.131,3
40,0,108.9536,34.2761,2
41,0,108.8885,34.2265,9
42,0,108.9516,34.1679,5
43,0,108.9854,34.2389,3
44,0,108.9283,34.2741,3
45,0,108.954,34.2622,26
46,0,108.9525,34.2095,3
47,0,108.9069,34.2257,12
48,0,108.962,34.3075,4
49,0,108.9696,34.2501,3
50,0,108.9108,34.1679,6
51,0,108.9289,34.1943,3
52,0,109.0036,34.2651,3
53,0,108.8367,34.1007,4
54,0,108.9732,34.232,4
55,0,108.9404,34.1266,5
56,0,108.9814,34.256,2
57,0,108.9846,34.372,5
58,0,109.0195,34.288,4
59,0,108.998,34.3872,4
60,0,108.8786,34.2474,10
61,0,108.868,34.2431,4
62,0,108.942,34.3523,4
63,0,108.9234,34.1808,4
64,0,109.0595,34.2952,4
65,0,108.9455,34.2527,6
66,0,108.9044,34.11,13
67,0,108.995,34.2517,4
68,0,109.0484,34.2662,6
69,1,109.0255,34.403,3
70,1,108.995,34.2604,2
71,1,108.8994,34.2883,2
72,1,109.0531,34.2891,2
73,1,108.9812,34.1955,2
74,1,108.8938,34.1964,4
75,1,108.9544,34.2991,6
76,1,108.9844,34.2138,4
77,1,108.9722,34.3431,2
78,1,108.9324,34.3334,4
79,1,108.9769,34.2709,11
80,1,108.9912,34.3105,2
81,1,108.9945,34.2768,3
82,1,108.9877,34.3607,2
83,1,108.9667,34.2826,7
84,1,108.988,34.3871,3
85,1,108.8746,34.2228,4
86,1,109.0141,34.2753,2
87,1,109.0161,34.2431,4
88,1,108.9756,34.1616,3
89,1,108.9816,34.3758,10
90,1,109.0698,34.2535,4
91,1,108.935,34.2466,2
92,1,108.9848,34.2506,5
93,1,108.9687,34.3202,4
94,1,108.9108,34.1679,4
95,1,108.9981,34.2514,4
96,1,108.9331,34.2155,5
97,1,108.9486,34.3371,3
98,1,108.9207,34.2926,3
99,1,108.9826,34.4655,6
100,1,108.9208,34.3043,4
101,1,108.9347,34.2649,4
102,1,108.9171,34.2611,9
103,1,108.8923,34.2283,4
104,1,108.9938,34.2961,13
105,1,109.0157,34.2328,2
106,1,108.9819,34.3955,6
107,1,108.9585,34.3148,3
108,1,108.954,34.2336,8
109,1,108.882,34.1837,6
110,1,108.9981,34.2204,2
111,1,108.9095,34.2377,2
112,1,109.0025,34.3479,3
113,1,109.024,34.3432,2
114,1,108.9946,34.2108,2
115,1,109.004,34.2873,2
116,1,108.9492,34.2161,5
117,1,108.9458,34.3974,3
118,1,108.8772,34.2712,2
119,1,109.076,34.2699,4
120,1,109.0023,34.2699,8
121,1,108.8787,34.2494,4
122,1,108.8613,34.2655,4
123,1,109.2084,34.2263,5
124,1,109.0251,34.257,3
125,1,108.9532,34.1893,4
126,2,108.9876,34.4712,2
127,2,109.01,34.3584,5
128,2,108.9393,34.2885,3
129,2,108.9045,34.2818,3
130,2,108.6383,34.0663,3
131,2,108.871,34.1835,4
132,2,108.9753,34.2475,4
133,2,108.9335,34.3534,4
134,2,108.9457,34.2657,8
135,2,108.971,34.2708,12
136,2,108.9337,34.3329,6
137,2,109.0476,34.2766,4
138,2,108.885,34.2089,3
139,2,108.9396,34.3416,8
140,2,109.0012,34.2492,4
141,2,108.9336,34.2584,8
142,2,109.012,34.2578,4
143,2,108.956,34.3158,6
144,2,109.2191,34.6629,3
145,2,108.9429,34.2348,2
146,2,108.9044,34.1883,3
147,2,108.9456,34.1785,4
148,2,109.0361,34.291,2
149,2,108.8766,34.2615,2
150,2,108.9208,34.2919,3
151,2,108.9834,34.3718,3
152,2,108.9298,34.3154,4
153,2,108.9835,34.1988,4
154,2,108.9342,34.2725,2
155,2,108.9634,34.3423,2
156,2,108.9917,34.2395,3
