,hour,longitude,latitude,value
0,0,121.4934,31.1869,314
1,0,121.4867,31.1749,184
2,0,108.9557,34.2615,159
3,0,108.9532,34.253,156
4,0,108.9575,34.2396,153
5,0,108.9382,34.2613,148
6,0,108.9394,34.2382,144
7,0,108.9113,34.2433,143
8,0,108.9579,34.2859,143
9,0,108.9329,34.2546,142
10,0,108.9382,34.2391,135
11,0,108.961,34.2514,128
12,0,108.9372,34.2504,128
13,0,108.9181,34.2765,128
14,0,108.9541,34.2466,118
15,0,108.9581,34.2355,114
16,0,108.9585,34.3136,113
17,0,108.9623,34.2956,112
18,0,108.9586,34.2707,110
19,0,108.9537,34.2391,109
20,0,108.9425,34.2358,109
21,0,108.929,34.2323,109
22,0,108.9,34.2423,107
23,0,108.9672,34.2655,105
24,0,108.918,34.2427,104
25,0,108.9108,34.2635,102
26,0,108.9586,34.2746,101
27,0,108.9513,34.269,100
28,0,108.9291,34.2347,99
29,0,108.9305,34.2476,98
30,0,108.9919,34.249,97
31,0,108.942,34.2591,93
32,0,108.9267,34.2708,92
33,0,108.9776,34.2381,92
34,0,108.8877,34.24,92
35,0,108.9798,34.2619,92
36,0,108.9718,34.2339,92
37,0,108.9992,34.2796,90
38,0,108.9617,34.3091,90
39,0,108.9544,34.3014,90
40,0,108.9169,34.2371,90
41,0,108.9568,34.3119,89
42,0,108.9977,34.2581,89
43,0,108.9986,34.258,88
44,0,121.8089,31.1559,88
45,0,108.9094,34.269,88
46,0,108.9542,34.293,87
47,0,108.9731,34.2348,87
48,0,108.9658,34.2526,87
49,0,108.9267,34.2266,87
50,0,108.9181,34.2826,86
51,0,108.9285,34.2336,86
52,0,108.9846,34.2626,85
53,0,108.9559,34.225,85
54,0,108.9591,34.2838,84
55,0,108.9835,34.2745,84
56,0,108.9301,34.2214,82
57,0,108.9668,34.2738,80
58,0,108.9792,34.2878,78
59,0,108.9702,34.243,78
60,0,108.9868,34.2414,78
61,0,108.8926,34.2533,78
62,0,108.8877,34.2526,77
63,0,108.9672,34.2824,77
64,0,108.9625,34.2752,76
