,hour,longitude,latitude,value
0,0,109.0493,34.2682,27.0
1,0,109.0204,34.2878,70.0
2,0,108.9288,34.2652,33.0
3,0,108.9431,34.2349,43.0
4,0,108.9265,34.2919,10.0
5,0,108.8985,34.2907,12.0
6,0,108.9668,34.2501,21.0
7,0,108.943,34.1973,11.0
8,0,108.971,34.2763,23.0
9,0,108.9508,34.2658,34.0
10,0,108.9119,34.2377,39.0
11,0,108.9514,34.3436,10.0
12,0,108.8865,34.2241,16.0
13,0,108.9526,34.3327,23.0
14,0,108.8848,34.1973,68.0
15,0,108.9019,34.2235,14.0
16,0,108.9791,34.2025,33.0
17,0,108.9587,34.3599,43.0
18,0,108.9164,34.2612,112.0
19,0,109.0078,34.262,12.0
20,0,108.8544,34.1758,37.0
21,0,108.9554,34.2561,86.0
22,1,109.0156,34.2331,27.0
23,1,108.9947,34.2772,10.0
24,1,108.8858,34.2428,22.0
25,1,109.0138,34.2753,16.0
26,1,108.9264,34.3365,10.0
27,1,108.9362,34.3657,22.0
28,1,108.9385,34.2543,58.0
29,1,108.8864,34.1679,10.0
30,1,108.9308,34.2184,25.0
31,1,108.9873,34.2269,17.0
32,1,108.9344,34.2045,19.0
33,1,108.9299,34.2396,25.0
34,1,108.9717,34.3434,19.0
35,1,108.963,34.2264,31.0
36,2,108.8832,34.2422,36.0
37,2,108.9598,34.297,10.0
38,2,108.9196,34.2749,25.0
39,2,108.9431,34.2063,20.0
40,2,108.9534,34.2368,21.0
41,2,108.8846,34.1997,31.0
42,2,108.9619,34.198,25.0
43,2,108.9541,34.2719,10.0
44,2,108.9378,34.2961,10.0
45,3,108.9544,34.2298,11.0
46,3,108.8889,34.2294,10.0
47,3,108.9619,34.3599,10.0
48,3,108.8963,34.2418,6.0
49,3,108.9696,34.2617,21.0
50,3,108.935,34.2615,24.0
51,3,108.8782,34.2005,57.0
52,3,108.9096,34.2485,14.0
53,3,108.9381,34.2949,10.0
54,3,108.9541,34.3361,27.0
55,3,108.8713,34.1853,10.0
56,3,109.009,34.372,19.0
57,3,108.954,34.2585,18.0
58,3,108.8858,34.158,10.0
59,3,108.9342,34.2725,20.0
60,4,108.9167,34.26,12.0
61,4,108.9005,34.2665,12.0
62,4,108.8905,34.2283,21.0
63,5,108.9859,34.2515,30.0
64,5,108.8923,34.2484,10.0
65,5,109.026,34.3139,21.0
66,5,108.9865,34.2924,28.0
67,5,108.8841,34.263,33.0
68,5,108.8563,34.1856,28.0
69,5,108.8948,34.2848,14.0
70,5,108.8761,34.2024,19.0
71,5,108.8184,34.3077,12.0
72,5,108.9578,34.289,29.0
73,5,108.908,34.2755,10.0
74,5,108.9078,34.1603,18.0
75,5,109.0091,34.2824,11.0
76,5,108.9667,34.2801,11.0
77,5,108.9596,34.3037,26.0
78,6,108.8724,34.2103,43.0
79,6,108.9098,34.1913,30.0
80,6,108.9878,34.229,18.0
81,6,108.9157,34.2177,63.0
82,6,108.9843,34.2051,22.0
83,6,108.8842,34.1836,23.0
84,6,108.9536,34.3427,37.0
85,6,108.9379,34.3179,33.0
86,6,108.9077,34.2564,50.0
87,6,108.9228,34.1912,28.0
88,6,109.018,34.3055,51.0
89,6,108.8588,34.2377,11.0
90,6,108.9121,34.1581,35.0
91,6,109.046,34.2352,14.0
92,6,108.9972,34.2617,41.0
93,6,108.9296,34.2151,15.0
94,6,108.911,34.2369,64.0
95,6,108.9423,34.2509,38.0
96,6,109.0016,34.2491,19.0
97,6,109.0169,34.2885,16.0
98,6,108.9235,34.3355,9.0
99,6,108.8915,34.2585,9.0
100,6,108.8927,34.2153,46.0
101,6,108.9491,34.2905,11.0
102,6,109.0162,34.2315,37.0
103,6,109.0125,34.2631,22.0
104,6,108.8843,34.2801,23.0
105,6,108.957,34.3239,9.0
106,6,109.064,34.2796,12.0
107,6,108.8708,34.2522,20.0
108,6,108.9311,34.289,19.0
109,6,108.9674,34.2105,25.0
110,6,109.0064,34.2063,9.0
111,6,109.0592,34.2548,69.0
112,6,109.0752,34.278,20.0
113,6,108.8844,34.2481,63.0
114,6,108.8818,34.2004,34.0
115,6,108.8419,34.2928,13.0
116,6,108.9876,34.2943,17.0
117,6,108.9358,34.2989,24.0
118,6,109.0482,34.2945,11.0
119,6,108.9751,34.1737,9.0
120,6,108.9165,34.2511,18.0
121,7,108.9427,34.256,69.0
122,7,109.0019,34.314,23.0
123,7,108.9746,34.1987,54.0
124,7,108.8604,34.1862,18.0
125,7,109.0716,34.2672,27.0
126,7,108.9532,34.2991,41.0
127,7,108.9541,34.2263,30.0
128,7,109.2316,34.3915,14.0
