,hour,longitude,latitude,value
0,0,108.9872,34.24,16.67
1,0,108.9282,34.2786,11.0
2,0,109.0046,34.3867,151.0
3,0,108.8852,34.166,47.0
4,0,108.9322,34.332,10.5
5,0,108.9588,34.2516,20.33
6,0,109.0035,34.2536,8.0
7,0,108.9528,34.2418,9.0
8,0,108.953,34.2222,12.33
9,0,109.0204,34.3104,20.0
10,0,108.9758,34.1621,79.0
11,0,108.9981,34.2658,7.0
12,0,108.952,34.2003,9.0
13,0,108.9413,34.247,3.0
14,0,108.9808,34.2126,27.5
15,0,108.9678,34.2246,8.0
16,0,108.9907,34.2934,30.0
17,0,109.0697,34.2748,10.0
18,0,109.0025,34.2834,11.0
19,0,108.8758,34.1798,20.0
20,0,109.1481,34.3759,68.0
21,0,108.9538,34.2986,27.0
22,0,108.8731,34.2241,26.0
23,0,108.8894,34.2324,10.0
24,0,108.8875,34.1793,24.0
25,0,108.9834,34.3673,10.0
26,0,108.9547,34.3397,8.5
27,0,108.8595,34.2277,71.0
28,0,108.9363,34.362,7.0
29,0,108.9288,34.1805,4.0
30,0,108.9536,34.2618,10.67
31,0,108.9548,34.178,13.0
32,0,108.9347,34.2359,11.0
33,0,108.9123,34.2537,23.0
34,0,108.9482,34.3163,12.5
35,0,108.9173,34.2962,11.0
36,0,108.9597,34.2787,23.5
37,0,108.9536,34.2886,9.0
38,0,108.97,34.2119,18.0
39,0,108.9164,34.2701,18.0
40,0,108.8933,34.2183,11.0
41,0,108.8851,34.1959,8.5
42,0,108.9678,34.1775,10.0
43,0,108.9711,34.2731,10.33
44,0,108.9692,34.2835,6.0
45,0,108.904,34.2642,7.5
46,0,108.8756,34.2513,22.67
47,0,109.0697,34.2532,11.0
48,0,108.9356,34.2627,25.0
49,0,108.9767,34.2564,15.0
50,0,108.9323,34.2004,6.5
51,0,108.8755,34.263,22.0
52,0,108.9129,34.24,16.33
53,0,108.9623,34.3552,8.0
54,0,108.9682,34.3297,24.0
55,0,108.8654,34.2032,8.0
56,0,108.9335,34.3158,13.0
57,0,108.9372,34.2204,12.0
58,0,108.9007,34.2875,22.5
59,0,109.0195,34.288,9.5
60,0,109.0726,34.2845,45.0
61,1,108.9698,34.2506,7.0
62,1,108.971,34.3393,18.0
63,1,108.9433,34.1976,7.0
64,1,108.8912,34.232,8.67
65,1,108.9764,34.2063,11.0
66,1,108.9145,34.3422,25.0
67,1,108.966,34.1962,19.4
68,1,109.0226,34.2426,17.0
69,1,108.8753,34.2516,11.33
70,1,108.9387,34.2458,17.0
71,1,108.972,34.3584,25.0
72,1,109.0202,34.2588,23.0
73,1,108.9925,34.2765,8.0
74,1,108.8964,34.2202,11.0
75,1,108.9526,34.3547,13.0
76,1,108.9234,34.2912,26.0
