,hour,longitude,latitude,value
0,0,108.9263,34.2153,0.0
1,0,108.8717,34.1912,0.0
2,0,109.2128,34.3795,0.0
3,0,108.9807,34.3016,0.0
4,0,109.2039,34.4001,0.0
5,0,108.9685,34.2819,2.0
6,0,114.0801,22.6568,8.0
7,0,108.9846,34.4054,0.0
8,0,109.0408,34.296,0.0
9,0,108.8635,34.1618,0.0
10,0,109.0182,34.2679,9.0
11,0,108.9281,34.297,4.0
12,0,108.9342,34.3566,0.0
13,0,109.075,34.1103,0.0
14,0,109.0048,34.4261,0.0
15,0,108.8521,34.1939,0.0
16,0,109.2481,34.3791,0.0
17,0,109.0746,34.3018,0.0
18,0,108.9622,34.1475,0.0
19,0,108.9486,34.2689,5.0
20,0,109.0901,34.1024,0.0
21,0,108.8936,34.3608,0.0
22,0,109.2155,34.3849,0.0
23,0,109.0474,34.2082,0.0
24,0,108.9203,34.2706,0.0
25,0,108.9376,34.3053,8.0
26,0,109.0239,34.223,0.0
27,0,108.9752,34.1664,0.0
28,0,108.8961,34.176,0.0
29,0,108.876,34.1464,0.0
30,0,108.8856,34.2863,0.0
31,0,108.9426,34.1808,0.0
32,0,109.1042,34.2961,0.0
33,0,109.047,34.2464,0.0
34,0,108.8639,34.3378,0.0
35,0,109.0761,34.3299,0.0
36,0,108.9811,34.4418,0.0
37,0,108.8822,34.1917,8.0
38,0,109.1181,34.382,0.0
39,0,108.9551,34.1719,0.0
40,0,109.0098,34.4559,0.0
41,0,108.8773,34.2119,0.0
42,0,109.2478,34.3988,0.0
43,0,108.8136,34.1694,0.0
44,0,108.907,34.237,8.0
45,0,108.9503,34.2958,6.0
46,0,108.9303,34.2204,0.0
47,0,109.0698,34.2723,0.0
48,0,109.2719,34.4355,0.0
49,0,108.939,34.2951,0.0
50,0,108.8293,34.246,0.0
51,0,109.0202,34.3139,0.0
52,0,109.0788,34.3183,0.0
53,0,108.9317,34.1919,0.0
54,0,108.7757,34.4447,0.0
55,0,109.0233,34.2512,0.0
56,0,108.7567,34.4364,0.0
57,0,108.8963,34.2703,0.0
58,0,109.253,34.3758,0.0
59,0,109.0124,34.1917,0.0
60,0,108.9452,34.3798,6.0
61,0,108.9297,34.2615,3.0
62,0,108.9293,34.2602,0.0
63,0,108.9095,34.2421,0.0
64,0,109.1327,34.26,0.0
65,0,108.881,34.3644,0.0
66,0,108.9026,34.2738,0.0
67,0,109.2971,34.456,0.0
68,0,108.9283,34.2696,8.0
69,0,109.1222,34.3392,0.0
70,0,109.0282,34.3263,0.0
71,0,108.7656,34.442,0.0
72,0,108.9451,34.1787,0.0
73,0,108.9165,34.3567,0.0
74,0,109.1355,34.3298,0.0
75,0,109.3308,34.4716,0.0
76,0,108.9556,34.2204,4.0
77,0,108.9466,34.3752,6.0
78,0,108.9088,34.2773,0.0
79,0,109.0102,34.2351,9.0
80,0,108.9958,34.4477,0.0
81,0,108.9488,34.341,0.0
82,0,108.8434,34.3392,0.0
83,0,109.0089,34.3826,0.0
84,0,108.9847,34.2527,8.0
85,0,109.0646,34.2603,0.0
86,0,109.0395,34.3402,0.0
87,0,108.9186,34.3061,0.0
88,0,108.9104,34.3347,0.0
89,0,108.8189,34.2509,0.0
90,0,108.9072,34.3631,0.0
91,0,108.9924,34.3031,0.0
92,0,109.2951,34.451,0.0
93,0,108.9769,34.3931,0.0
94,0,108.9481,34.275,8.0
95,0,108.9501,34.2833,-2.0
96,0,108.9957,34.4011,0.0
97,0,108.8811,34.1486,0.0
98,0,109.0572,34.3154,0.0
99,0,109.2386,34.3854,0.0
100,0,108.9108,34.236,8.0
101,0,108.8985,34.3272,0.0
102,0,108.9326,34.2458,8.0
103,0,108.9507,34.233,9.0
104,0,108.9079,34.2367,8.0
105,0,109.0297,34.3369,0.0
106,0,109.0978,34.2809,0.0
107,0,114.0738,22.6525,8.0
108,0,108.86,34.3052,0.0
109,0,108.9584,34.2475,4.0
110,0,109.0109,34.4069,0.0
111,0,108.941,34.2539,6.0
112,0,108.9465,34.3137,8.0
113,0,114.0751,22.6601,8.0
114,0,108.9402,34.3019,0.0
115,0,108.9518,34.154,0.0
116,0,109.2615,34.4372,0.0
117,0,109.3524,34.4743,0.0
118,0,108.8192,34.2045,0.0
119,0,108.9972,34.2837,0.0
120,0,108.9553,34.337,7.0
121,0,109.2267,34.412,0.0
122,0,109.1206,34.4137,0.0
123,0,108.9756,34.23,0.0
124,0,109.2396,34.3882,0.0
125,0,116.4021,39.9218,-1.0
126,0,108.9963,34.3897,0.0
127,0,108.8858,34.1605,0.0
128,0,109.017,34.2785,0.0
129,0,109.0266,34.3125,8.0
130,0,108.9298,34.1703,0.0
131,0,109.3101,34.3973,0.0
132,0,108.7689,34.4471,0.0
133,0,108.9498,34.2239,8.0
134,0,108.9029,34.1608,0.0
135,0,108.9903,34.3883,0.0
136,0,108.9731,34.336,0.0
137,0,109.0809,34.3737,0.0
138,0,108.8339,34.281,8.0
139,0,109.015,34.3788,8.0
140,0,109.0233,34.2856,8.0
141,0,116.4046,39.9128,-1.0
142,0,108.7919,34.2766,0.0
143,0,121.8167,31.1602,10.0
144,0,109.1803,34.3677,0.0
145,0,111.6728,40.8221,6.0
146,0,109.2783,34.3856,0.0
147,0,108.9371,34.2734,0.0
148,0,109.0643,34.2931,8.0
149,0,108.9564,34.2758,0.0
150,0,108.9123,34.1857,0.0
151,0,109.0064,34.2139,3.0
152,0,109.3389,34.4794,0.0
153,0,107.1526,34.3843,9.0
154,0,108.8712,34.3569,0.0
155,0,109.2264,34.3703,0.0
156,0,121.8142,31.1561,10.0
157,0,109.0751,34.3765,0.0
158,0,108.9445,34.2537,6.0
159,0,109.1584,34.6012,0.0
160,0,108.9553,34.2315,9.0
161,0,110.0976,39.7896,0.0
162,0,109.0141,34.4273,0.0
163,0,108.9705,34.2407,-1.0
164,0,108.9732,34.2958,0.0
165,0,108.9393,34.2408,8.0
166,0,108.9377,34.2052,8.0
167,0,108.9676,34.2782,0.0
168,0,109.1684,34.3471,0.0
169,0,109.0157,34.3034,0.0
